Item ID,Item No.,Item Barcode,Name,Category,Supplier,Cost (Vat),Price,Image,Date Stamp
97c7bf02,11704108,11704108,กรองโซล่าNISSAN1640359E00,กรองโซล่า,เจ๊จู,250,450,Item_Images/11704108.Image.052136.png,12/1/2564 12:26:00
28201cc5,164037F40A,164037F40A,กรองโซล่าNISSAN 40A,กรองโซล่า,เจ๊จู,250,450,Item_Images/164037F40A.Image.052140.png,12/1/2564 12:23:00
ae15d817,1770A177,1770A177,กรองโซล่ามิสซูบิชิ177​A177,กรองโซล่า,เจ๊จู,250,450,Item_Images/1770A177.Image.052212.png,12/1/2564 12:20:00
73967711,194771044,194771044,กรองโซล่าเชฟโลเลต194771044,กรองโซล่า,เจ๊จู,350,550,Item_Images/194771044.Image.052220.png,12/1/2564 12:01:00
f69a9a9c,233036401000   7,233036401000   7,กรองโซล่าTOYOTA233036401000,กรองโซล่า,เจ๊จู,210,380,Item_Images/233036401000   7.Image.052150.png,12/1/2564 12:27:00
50b53fca,233900L070,233900L070,กรองโซล่าTOYOTA-233900L070,กรองโซล่า,เจ๊จู,320,450,Item_Images/233900L070.Image.052205.png,12/1/2564 12:08:00
dbed162c,23390YZZA1 -,23390YZZA1 -,กรองโซล่าTOYOTA23390-YZZA1,กรองโซล่า,เจ๊จู,140,450,Item_Images/23390YZZA1 -.Image.052144.png,12/1/2564 12:30:00
bc3112db,8859121602431,8859121602431,กรองโซล่าISUZU8980363210,กรองโซล่า,เจ๊จู,128,250,Item_Images/8859121602431.Image.052104.png,12/1/2564 12:34:00
fd482307,8859121602509,8859121602509,กรองโซล่าISUZU8981596930,กรองโซล่า,เจ๊จู,96,180,Item_Images/8859121602509.Image.052122.png,12/1/2564 12:32:00
a92d008d,8972889470,8972889470,กรองโซล่าISUZU8972889470,กรองโซล่า,เจ๊จู,85,290,Item_Images/8972889470.Image.052100.png,12/1/2564 12:12:00
87bef13a,8979169932,8979169932,กรองโซล่าISUSUZU8979169932,กรองโซล่า,เจ๊จู,65,150,Item_Images/8979169932.Image.052056.png,12/1/2564 12:15:00
ee28f37b,89814998M0,89814998M0,กรองโซล่าISUZU8981499830,กรองโซล่า,เจ๊จู,350,650,Item_Images/89814998M0.Image.052118.png,12/1/2564 12:18:00
97e84f78,MB220900MT,MB220900MT,กรองโซล่ามิสซูบิซิMB220900MT,กรองโซล่า,เจ๊จู,210,400,Item_Images/MB220900MT.Image.052216.png,12/1/2564 11:59:00
2e1ed841,U2Y013ZA5,U2Y013ZA5,กรองโซล่าBT50PRO 2012,กรองโซล่า,เจ๊จู,160,480,Item_Images/U2Y013ZA5.Image.051957.png,12/1/2564 12:03:00
5d570a70,164034KV0A,164034KV0A,164034KV0A,กรองโซล่า,เจ๊จู,,450,,7/5/2564
247e463e,02921198,02921198,กรองน้ำมันเครื่องTOYOTA-YZZA5,กรองน้ำมันเครื่อง,เจ๊จู,220,300,Item_Images/02921198.Image.061236.png,12/1/2564 9:27:00
e3798f25,04152-31080,04152-31080,กรองน้ำมันเครื่องคอนเนอร์TOYOTTA-31080,กรองน้ำมันเครื่อง,เจ๊จู,90,300,Item_Images/04152-31080.Image.061846.png,12/1/2564 9:30:00
1f643c5e,04152-37010,04152-37010,กรองน้ำมันเครื่องคอนเนอร์-YZZA6,กรองน้ำมันเครื่อง,เจ๊จู,120,300,Item_Images/04152-37010.Image.061721.png,11/1/2564 14:56:00
114a3f10,04152YZZA1  V,04152YZZA1  V,กรองน้ำมันเครื่องTOYOTA-YZZA1,กรองน้ำมันเครื่อง,เจ๊จู,200,300,Item_Images/04152YZZA1  V.Image.061218.png,12/1/2564 9:23:00
3f88f5aa,04152-yzza3,04152-yzza3,กรองน้ำมันเครื่องคอนเนอร์31090,กรองน้ำมันเครื่อง,เจ๊จู,96,300,Item_Images/04152-yzza3.Image.061707.png,12/1/2564 9:28:00
99b83c0e,04152YZZA 6-,04152YZZA 6-,กรองน้ำมันเครื่องTOYOTA-YZZA6,กรองน้ำมันเครื่อง,เจ๊จู,120,300,Item_Images/04152YZZA 6-.Image.061242.png,11/1/2564 14:01:00
ada450c5,07443978,07443978,กรองน้ำมันเครื่องมิสซูบิชิ6489,กรองน้ำมันเครื่อง,เจ๊จู,130,300,Item_Images/07443978.Image.061948.png,11/1/2564 13:36:00
8d7fd940,12636838,12636838,กรองน้ำมันเครื่องเชฟโลเลต6838,กรองน้ำมันเครื่อง,เจ๊จู,160,300,Item_Images/12636838.Image.062101.png,11/1/2564 14:30:00
a281efde,14720888,14720888,กรองน้ำมันเครื่องNISSAN-AD21A,กรองน้ำมันเครื่อง,เจ๊จู,95,300,Item_Images/14720888.Image.061118.png,11/1/2564 13:50:00
c4a0bbf1,1520831U01,1520831U01,กรองน้ำมันเครื่องNISSAN-31U01,กรองน้ำมันเครื่อง,เจ๊จู,110,300,Item_Images/1520831U01.Image.061113.png,11/1/2564 13:57:00
9532dec2,1520865F00,1520865F00,กรองน้ำมันเครื่องคอนเนอร์NISSAN7M600,กรองน้ำมันเครื่อง,เจ๊จู,62,300,Item_Images/1520865F00.Image.061806.png,11/1/2564 14:57:00
1602d78b,15208EB70D,15208EB70D,กรองน้ำมันเครื่องNISSAN-ED50A,กรองน้ำมันเครื่อง,เจ๊จู,110,300,Item_Images/15208EB70D.Image.061136.png,11/1/2564 13:52:00
5ce5ada6,15208EB70D1,15208EB70D1,กรองน้ำมันเครื่องNISSAN-EB70D,กรองน้ำมันเครื่อง,เจ๊จู,130,300,Item_Images/15208EB70D1.Image.061132.png,11/1/2564 13:58:00
5ff9604f,15208H8911B,15208H8911B,กรองน้ำมันเครื่องNISSAN-H8911B,กรองน้ำมันเครื่อง,เจ๊จู,80,300,Item_Images/15208H8911B.Image.061141.png,11/1/2564 13:47:00
124d2476,15208W1120,15208W1120,กรองน้ำมันเครื่องNISSAN W1120,กรองน้ำมันเครื่อง,เจ๊จู,80,300,Item_Images/15208W1120.Image.061109.png,11/1/2564 13:46:00
89e8be42,152092W200,152092W200,กรองน้ำมันเครื่องNISSAN-W200B,กรองน้ำมันเครื่อง,เจ๊จู,90,300,Item_Images/152092W200.Image.061155.png,11/1/2564 13:49:00
56f72206,15400RAFT01,15400RAFT01,กรองน้ำมันเครื่องHONDA-T01,กรองน้ำมันเครื่อง,เจ๊จู,80,300,Item_Images/15400RAFT01.Image.060915.png,11/1/2564 14:39:00
a28c0645,15400-RZ0-G01,15400-RZ0-G01,กรองน้ำมันเครื่องHONDA​ G01,กรองน้ำมันเครื่อง,เจ๊จู,240,300,Item_Images/15400-RZ0-G01.Image.060929.png,12/1/2564 9:47:00
95c82191,1651058M00000,1651058M00000,กรองน้ำมันเครื่องSUZUKI-MOOOOO,กรองน้ำมันเครื่อง,เจ๊จู,165,300,Item_Images/1651058M00000.Image.061200.png,11/1/2564 14:36:00
2d57affc,2050001022547,2050001022547,กรอง SM-OFG009,กรองน้ำมันเครื่อง,เจ๊จู,280.00,300,Item_Images/2050001022547.Image.060810.png,4/2/2564 14:16:00
efc6acbb,254718130106,254718130106,กรองน้ำมันเครื่องทาทา30106,กรองน้ำมันเครื่อง,เจ๊จู,104,300,Item_Images/254718130106.Image.061904.png,11/1/2564 14:44:00
fe0c5698,263104A010,263104A010,กรองน้ำมันเครื่องฮุนได4A010,กรองน้ำมันเครื่อง,เจ๊จู,140,300,Item_Images/263104A010.Image.061953.png,11/1/2564 14:20:00
616dda2b,377786408574,377786408574,กรองน้ำมันเครื่อง Volvo,กรองน้ำมันเครื่อง,เจ๊จู,300,300,Item_Images/377786408574.Image.060824.png,4/2/2564 13:56:00
657141a0,55589295,55589295,กรองน้ำมันเครื่องเชฟโลเลต9295,กรองน้ำมันเครื่อง,เจ๊จู,180,300,Item_Images/55589295.Image.062119.png,11/1/2564 14:35:00
